step,timestamp,split,vibration_rms,temperature_c,current_a,speed_rpm,acoustic_db,pressure_kpa
0,2026-07-01T12:08:32,future,0.97498,42.58926,128.0244,1299.23023,62.04662,398.93744
1,2026-07-01T12:08:33,future,1.0901,44.36899,121.6121,1250.22402,59.96457,421.474
2,2026-07-01T12:08:34,future,1.16276,42.39447,119.72737,1248.81088,59.73815,423.75564
3,2026-07-01T12:08:35,future,1.03904,44.71482,126.42686,1240.2264,60.04266,415.78263
4,2026-07-01T12:08:36,future,1.29093,41.14624,123.98859,1251.00108,59.08734,422.95305
5,2026-07-01T12:08:37,future,1.61701,48.03406,131.98475,1268.76968,64.17862,403.46748
6,2026-07-01T12:08:38,future,1.02308,40.96949,124.83316,1278.61947,65.53312,408.52678
7,2026-07-01T12:08:39,future,1.61089,41.98677,129.8717,1287.2235,64.14313,415.92233
8,2026-07-01T12:08:40,future,1.4111,47.39248,131.90238,1264.63309,64.0587,407.62643
9,2026-07-01T12:08:41,future,1.58393,44.63004,136.15493,1317.60682,59.38243,398.44752
10,2026-07-01T12:08:42,future,1.55488,45.24984,126.20368,1243.65903,61.68479,418.58833
11,2026-07-01T12:08:43,future,1.55199,43.26097,124.61725,1259.08486,60.07471,425.03479
12,2026-07-01T12:08:44,future,1.00907,45.54032,128.73298,1236.75413,62.48849,417.90696
13,2026-07-01T12:08:45,future,1.47063,41.04633,122.30793,1262.2734,59.04695,420.79219
14,2026-07-01T12:08:46,future,1.63097,42.04975,124.83528,1266.16497,61.77011,423.10891
15,2026-07-01T12:08:47,future,1.60533,47.30063,135.72025,1296.43688,60.66056,402.30689
16,2026-07-01T12:08:48,future,1.44439,56.34261,127.21766,1280.40235,59.12892,415.06841
17,2026-07-01T12:08:49,future,1.19734,45.33883,126.21979,1248.58581,63.73139,411.9713
18,2026-07-01T12:08:50,future,0.9559,42.94499,121.88721,1241.06096,60.74384,419.03979
19,2026-07-01T12:08:51,future,1.23354,44.28954,136.05902,1308.86004,60.48774,397.00877
20,2026-07-01T12:08:52,future,1.45285,44.50301,125.03269,1248.22888,62.79191,426.97438
21,2026-07-01T12:08:53,future,1.38498,55.31891,132.37352,1290.70159,59.05195,413.36702
22,2026-07-01T12:08:54,future,0.97301,41.66419,127.16998,1295.65163,64.22839,399.06032
23,2026-07-01T12:08:55,future,1.57884,47.46989,135.09948,1257.24198,65.41805,405.38705
