step,timestamp,split,vibration_rms,temperature_c,current_a,speed_rpm,acoustic_db,pressure_kpa
0,2026-07-01T12:00:00,history,1.21923,46.68786,136.59946,1282.01949,62.14878,410.60679
1,2026-07-01T12:00:01,history,1.27911,49.73957,136.03664,1275.57275,62.74735,411.25143
2,2026-07-01T12:00:02,history,1.29045,49.01309,136.67979,1281.09462,63.11543,413.90098
3,2026-07-01T12:00:03,history,1.30405,47.61471,133.07714,1283.76341,62.96097,415.93688
4,2026-07-01T12:00:04,history,1.35099,47.25645,133.84981,1275.65273,62.21132,410.09449
5,2026-07-01T12:00:05,history,1.26957,48.30331,133.92693,1283.28621,62.78011,414.44913
6,2026-07-01T12:00:06,history,1.47089,49.01229,138.18442,1294.13262,61.57461,412.18095
7,2026-07-01T12:00:07,history,1.52603,48.88644,135.77109,1291.72203,63.5794,416.57585
8,2026-07-01T12:00:08,history,1.41811,49.2068,135.96478,1283.14335,64.12105,412.92169
9,2026-07-01T12:00:09,history,1.50163,50.83434,135.53943,1284.85242,64.08697,414.27437
10,2026-07-01T12:00:10,history,1.41564,48.99554,138.68728,1286.70119,63.5859,414.02596
11,2026-07-01T12:00:11,history,1.562,48.74463,138.26306,1294.3997,64.65183,417.27199
12,2026-07-01T12:00:12,history,1.48064,50.16731,136.50794,1288.23861,63.77159,414.92828
13,2026-07-01T12:00:13,history,1.59865,52.1191,137.46411,1286.833,64.29534,420.7568
14,2026-07-01T12:00:14,history,1.5372,50.0659,140.1838,1295.17713,64.7756,414.44133
15,2026-07-01T12:00:15,history,1.55666,51.42974,133.33056,1303.87893,66.01579,421.11961
16,2026-07-01T12:00:16,history,1.6089,50.6427,138.61077,1301.05927,64.80808,417.79582
17,2026-07-01T12:00:17,history,1.58125,50.24869,136.09028,1301.11291,64.94523,419.2925
18,2026-07-01T12:00:18,history,1.54389,53.39576,136.02981,1313.31689,64.83708,420.42885
19,2026-07-01T12:00:19,history,1.58017,51.6716,136.35389,1313.64793,65.62887,423.7582
20,2026-07-01T12:00:20,history,1.46573,52.56169,140.18307,1300.68581,64.82021,421.00487
21,2026-07-01T12:00:21,history,1.53506,51.81573,136.04741,1312.17488,66.54425,419.12654
22,2026-07-01T12:00:22,history,1.60363,51.24717,139.44438,1297.79514,65.42472,416.28723
23,2026-07-01T12:00:23,history,1.29963,53.09237,131.60829,1308.11612,64.66785,424.83157
24,2026-07-01T12:00:24,history,1.52483,51.34404,137.58454,1311.42534,65.93485,419.03406
25,2026-07-01T12:00:25,history,1.64774,52.03603,138.64794,1312.98734,65.72403,421.68557
26,2026-07-01T12:00:26,history,1.32653,52.59781,137.00754,1310.76173,64.2118,423.79617
27,2026-07-01T12:00:27,history,1.30831,52.47224,136.82058,1303.82316,66.13351,423.55753
28,2026-07-01T12:00:28,history,1.42347,53.4069,138.20318,1306.31286,64.26485,422.17273
29,2026-07-01T12:00:29,history,1.31533,53.2416,138.43049,1305.55919,65.75806,422.66374
30,2026-07-01T12:00:30,history,1.19359,52.72113,137.0893,1301.68247,64.06361,422.30334
31,2026-07-01T12:00:31,history,1.30604,52.63214,137.0206,1317.97929,64.3862,426.64045
32,2026-07-01T12:00:32,history,1.20266,52.65892,134.01561,1304.95727,64.81907,426.35614
33,2026-07-01T12:00:33,history,1.24739,52.35054,135.38561,1312.68378,63.16385,423.47716
34,2026-07-01T12:00:34,history,1.25103,53.07797,132.15059,1312.95435,65.70925,425.22666
35,2026-07-01T12:00:35,history,0.87269,54.41721,131.41554,1306.15717,61.86636,419.24702
36,2026-07-01T12:00:36,history,1.30564,51.76742,135.65816,1304.90807,65.37881,420.11814
37,2026-07-01T12:00:37,history,1.21459,53.66444,132.90227,1308.53753,65.40109,423.34629
38,2026-07-01T12:00:38,history,1.01165,53.34629,133.04306,1306.37962,62.95288,424.75479
39,2026-07-01T12:00:39,history,1.16096,54.1187,131.32378,1311.49395,64.66605,420.55338
40,2026-07-01T12:00:40,history,1.2453,53.38632,132.76186,1308.67525,64.10468,423.95508
41,2026-07-01T12:00:41,history,0.97471,53.84015,133.85172,1314.20574,63.13823,424.36567
42,2026-07-01T12:00:42,history,1.14775,53.68588,136.21298,1308.20187,63.89183,424.09687
43,2026-07-01T12:00:43,history,0.9394,55.11119,133.26232,1299.37075,62.7437,425.73115
44,2026-07-01T12:00:44,history,1.09026,53.80193,134.9717,1306.18909,64.84862,422.56137
45,2026-07-01T12:00:45,history,0.84296,54.53328,130.96348,1294.48404,62.51729,424.4757
46,2026-07-01T12:00:46,history,0.87275,54.05278,130.57263,1294.61773,60.00038,419.11196
47,2026-07-01T12:00:47,history,0.97345,54.56193,134.04738,1311.87271,63.38483,421.16382
48,2026-07-01T12:00:48,history,0.83174,54.15941,129.47646,1298.97606,61.99005,421.74656
49,2026-07-01T12:00:49,history,1.0315,53.63411,135.73652,1309.13556,62.92411,421.96409
50,2026-07-01T12:00:50,history,0.92755,55.22835,125.0196,1270.81459,59.57986,413.96704
51,2026-07-01T12:00:51,history,0.88455,54.16317,130.11351,1299.53164,61.999,420.70969
52,2026-07-01T12:00:52,history,1.01552,52.8446,131.03164,1300.58831,62.6443,425.21548
53,2026-07-01T12:00:53,history,0.94942,54.17849,124.96943,1266.4754,60.38648,413.05181
54,2026-07-01T12:00:54,history,0.84193,54.7238,125.12925,1294.94459,61.15226,420.13168
55,2026-07-01T12:00:55,history,0.84518,54.93246,132.79081,1301.16649,60.94924,417.73894
56,2026-07-01T12:00:56,history,0.91613,54.36038,131.47817,1304.57141,60.98676,422.64145
57,2026-07-01T12:00:57,history,0.93982,53.91799,129.94991,1293.35654,61.88593,417.68288
58,2026-07-01T12:00:58,history,0.99197,57.11042,125.79404,1283.38297,61.4263,417.93208
59,2026-07-01T12:00:59,history,0.81412,54.6606,128.96946,1295.75328,61.76724,421.09715
60,2026-07-01T12:01:00,history,0.8555,55.0449,127.11716,1296.03791,60.27929,421.64763
